Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
wide-leg-trouser,,,,,,,Color,Khaki,Size,28,NK-WLT-KHAK-28,shopify,25,deny,manual,2899,TRUE,TRUE,
wide-leg-trouser,,,,,,,Color,Khaki,Size,30,NK-WLT-KHAK-30,shopify,25,deny,manual,2899,TRUE,TRUE,
wide-leg-trouser,,,,,,,Color,Khaki,Size,32,NK-WLT-KHAK-32,shopify,25,deny,manual,2899,TRUE,TRUE,
wide-leg-trouser,,,,,,,Color,Khaki,Size,34,NK-WLT-KHAK-34,shopify,25,deny,manual,2899,TRUE,TRUE,
wide-leg-trouser,,,,,,,Color,Khaki,Size,36,NK-WLT-KHAK-36,shopify,25,deny,manual,2899,TRUE,TRUE,
cropped-work-jacket,Cropped Work Jacket,"<p>Boxy chore jacket, cropped at the hip, four pockets that actually hold things.</p><ul><li>320 GSM cotton canvas, unlined</li><li>Four patch pockets, two chest, two hip</li><li>Corozo buttons, chain-stitched shanks</li><li>Triple-needle felled seams throughout</li></ul><p>Spot clean or dry clean. Canvas softens with wear.</p>",NAKSHA,Outerwear,"Outerwear, Drop 01, 320 GSM",TRUE,Color,Coal,Size,S,NK-CWJ-COAL-S,shopify,0,deny,manual,4499,TRUE,TRUE,active
cropped-work-jacket,,,,,,,Color,Coal,Size,M,NK-CWJ-COAL-M,shopify,25,deny,manual,4499,TRUE,TRUE,
cropped-work-jacket,,,,,,,Color,Coal,Size,L,NK-CWJ-COAL-L,shopify,25,deny,manual,4499,TRUE,TRUE,
cropped-work-jacket,,,,,,,Color,Coal,Size,XL,NK-CWJ-COAL-XL,shopify,0,deny,manual,4499,TRUE,TRUE,
cropped-work-jacket,,,,,,,Color,Bone,Size,S,NK-CWJ-BONE-S,shopify,0,deny,manual,4499,TRUE,TRUE,
cropped-work-jacket,,,,,,,Color,Bone,Size,M,NK-CWJ-BONE-M,shopify,25,deny,manual,4499,TRUE,TRUE,
cropped-work-jacket,,,,,,,Color,Bone,Size,L,NK-CWJ-BONE-L,shopify,25,deny,manual,4499,TRUE,TRUE,
cropped-work-jacket,,,,,,,Color,Bone,Size,XL,NK-CWJ-BONE-XL,shopify,0,deny,manual,4499,TRUE,TRUE,
